Title,Naverlink,Script,Date
"정의당, 민주노동당으로 당명 변경.. <b>대선</b> 후보도 선출",https://n.news.naver.com/mnews/article/659/0000032895?sid=102,정의당이 <b>대선</b>을 앞두고 당명을 민주노동당으로 바꿨습니다. 민주노동당 도당은 이번 당명 변경은 지난... 최종 확정했다고 밝혔습니다. 민주노동당은 어제(5일) <b>21대</b> 대통령 후보로 권영국 당대표를 선출했습니다.,"Tue, 06 May 2025 15:05:00 +0900"
"[<b>대선</b>, 산업지형 바꿀까]목표 같은데…상법 vs 자본시장법 '동상이몽'",https://n.news.naver.com/mnews/article/648/0000035890?sid=101,제<b>21대</b> 대통령 선거가 한 달 여 앞으로 다가오면서 경제계도 잔뜩 긴장 중이다. 후보자들이 내건 공약이 실제... 산업 관련 <b>대선</b> 공약들과 이를 둘러싸고 기대와 우려가 공존하는 경제계 시선을 짚어본다. [편집자]...,"Tue, 06 May 2025 15:00:00 +0900"
"강원선관위, <b>대선</b> 접경지 사전투표관리 대책회의 개최",https://n.news.naver.com/mnews/article/087/0001114791?sid=100,"참석자들은 다음 달 3일 실시되는 제<b>21대 대선</b>의 사전투표에 대비해 접경지 위원회 사전투표 관리 방안을 논의하고 전파·공유 가치가 있는 사례 전달하는 한편, 건의사항 청취하는 시간을 가졌다. 강원선관위 관계자는...","Tue, 06 May 2025 15:00:00 +0900"
한덕수 “아내 토정비결 보는 수준…무속은 새빨간 거짓말”,https://n.news.naver.com/mnews/article/009/0005487658?sid=154,◆ 2025 <b>대선</b> 레이스 ◆ 한덕수 제<b>21대</b> 대통령선거 무소속 예비 후보는 6일 박지원 더불어민주당 의원이 한 후보 부인에 대해 ‘무속 전문가’라고 표현한 데 대해 “철저하게 새빨간 거짓말”이라고 밝혔다. 한 후보는 이날...,"Tue, 06 May 2025 14:47:00 +0900"
"그래도 선관위 시계는 간다'.. <b>대선</b> 사무 착착, 투표 참여 독려",https://n.news.naver.com/mnews/article/661/0000054787?sid=154,"다음 달 3일 제<b>21대</b> 대통령 선거를 앞두고 정치권의 공방이 거세지는 가운데, 선거관리위원회의 선거 준비도 속도를 내고 있습니다. 제주도선거관리위원회는 오늘(6일) <b>대선</b> 홍보인쇄물 배부 작업을 진행했습니다....","Tue, 06 May 2025 14:39:00 +0900"
“‘OECD 최대’ 성별 임금 격차 해소를”···<b>대선</b> ‘7대 여성 노동 공...,https://n.news.naver.com/mnews/article/032/0003367683?sid=102,"시민단체들이 <b>21대 대선</b>을 앞두고 성별 임금 격차 해소, 부처 전담조직 신설 등 직장에서의 성평등을 보장하기 위한 7대 공약을 제시했다. 직장갑질119 젠더폭력특별위원회는 다음달 <b>21대 대선</b>을 앞두고 7대 여성 노동...","Tue, 06 May 2025 14:35:00 +0900"
한동훈 “국민 보기 부끄럽다”…안철수 “당권 노리나”…홍준표 “당...,https://n.news.naver.com/mnews/article/016/0002467116?sid=100,"지난달 29일 국민의힘 <b>대선</b> 후보 경선 탈락 직후 탈당했고, 곧 미국으로 떠날 예정이라고 밝혔다. 출국 시점은 오는 10일께로 알려졌다. 홍준표 제<b>21대</b> 대통령 선거 국민의힘 경선 후보가 지난달 23일 서울 여의도 캠프...","Tue, 06 May 2025 14:32:00 +0900"
"더불어민주당 대구시당, <b>대선</b> 선대위 공식 출범",https://n.news.naver.com/mnews/article/079/0004020828?sid=102,최 전 의원은 국민의힘 소속으로 제<b>21대</b> 비례대표 국회의원을 지낸 인물로 38년의 간호사 경력으로 코로나19... 3일 <b>대선</b>은 이를 단호히 극복하고 국민주권과 헌정질서를 회복할 결정적 기회&quot;라며 &quot;대구경북 출신으로...,"Tue, 06 May 2025 14:18:00 +0900"
"네이버·다음, '<b>대선</b> 특별 페이지' 잇따라 오픈",https://n.news.naver.com/mnews/article/127/0000037617?sid=102,"다음은 4월29일 ‘<b>21대 대선</b> 서비스 운영원칙’ 공지를 통해 ‘공정하고 충실한 선거 정보 제공’, ‘허위정보 등 잘못된 기사·정보에 대한 적극 대처’ 방침을 밝혔다. 다음은 공지에서 “논란이 되는 이슈에 대해서는...","Tue, 06 May 2025 14:04:00 +0900"
민주 '이재명 재판' 대응 총력...국민의힘 연일 의원총회,https://n.news.naver.com/mnews/article/052/0002189456?sid=154,"제<b>21대 대선</b>이 28일 앞으로 다가온 가운데, 민주당은 조희대 대법원장의 탄핵을 압박하며 이재명 후보 재판 대응에 당력을 모으고 있습니다. 후보 단일화를 두고 진통이 이어지고 있는 국민의힘은 이틀 연속 의원총회를...","Tue, 06 May 2025 13:52:00 +0900"
"소방청, '6·3 <b>대선</b>' 투·개표소 1만4000여곳 대상 안전대책 추진",https://n.news.naver.com/mnews/article/654/0000119556?sid=102,소방청은 오는 6월 3일 실시되는 '제<b>21대</b> 대통령 선거'에 대비해 오는 23일까지 전국 투·개표소 1만4548곳을 대상으로 화재안전대책을 추진한다고 6일 밝혔다. 소방청은 자동화재탐지설비와 옥내소화전 등 소방시설 작동...,"Tue, 06 May 2025 13:34:00 +0900"
우크라전·美<b>대선</b> 이어 韓 노린다…딥페이크발 혼란 주의보,https://n.news.naver.com/mnews/article/016/0002467106?sid=105,‘제<b>21대</b> 대통령선거 공관 재외선거 담당자 투표관리 교육’에서 참석자들이 재외투표용지 발급기 운영... 딥페이크는 한국보다 앞서 치뤄진 미국 <b>대선</b>에서도 기승을 부린 바 있다. 한 정치 컨설턴트는 조 바이든 전...,"Tue, 06 May 2025 13:29:00 +0900"
"서울시, 폐현수막 전용집하장 설치…“100% 재활용 목표”",https://n.news.naver.com/mnews/article/366/0001074835?sid=102,오는 6월 3일 제<b>21대</b> 대통령선거를 앞두고 자치구에서 수거한 폐현수막을 모아 재활용 거점으로 활용할 계획이다. 그동안 폐현수막은 자치구가 자체적으로 관리해 왔다. 그러나 이번 <b>대선</b>은 비정기적이고 불규칙하게...,"Tue, 06 May 2025 13:14:00 +0900"
"&quot;지방이 사라진다&quot; 순천시, <b>대선</b>공약 18건 건의",https://n.news.naver.com/mnews/article/079/0004020810?sid=102,"전남 순천시가 제<b>21대</b> 대통령 선거를 앞두고 '특별지자체 설립 및 메가시티 실현', '남중권 신경제거점 구축... 등을 <b>대선</b>공약에 반영해줄 것을 건의했다. 또한 유네스코 세계자연유산과 문화유산을 함께 보유한...","Tue, 06 May 2025 13:05:00 +0900"
"한국교회, 각 당 <b>대선</b> 후보에 ‘10대 기독교 정책’ 제안 나선다",https://n.news.naver.com/mnews/article/005/0001774280?sid=103,한국기독교공공정책협의회(기공협·대표회장 소강석 목사)가 오는 6월 3일로 예정된 제<b>21대</b> 대통령선거를 앞두고 각 당 <b>대선</b>후보들에게 교계의 목소리가 담긴 10가지 정책을 제안한다. 기공협은 지난 1일 서울 종로구...,"Tue, 06 May 2025 12:41:00 +0900"
"정준호, '경청 노트 캠페인' 첫 시동",https://n.news.naver.com/mnews/article/277/0005588042?sid=102,"더불어민주당 정준호 의원(광주 북구갑)이 제<b>21대</b> 대통령 선거의 핵심 기조인 '통합·경청·현장'을 실천하기... 민주당 <b>대선</b> 기조와도 맞닿아 있다. 정 의원은 &quot;<b>대선</b> 승리를 위해서는 지역 민심을 가장 먼저 듣고, 가장...","Tue, 06 May 2025 12:36:00 +0900"
"시민단체, ‘직장 여성 7대 공약’ 촉구…“성평등이 최우선 과제돼야”",https://n.news.naver.com/mnews/article/018/0006006270?sid=102,시민단체 사단법인 직장갑질119 내 젠더폭력특별위원회는 6일 “제<b>21대</b> 대통령 선거를 앞두고 여성... 김세정 직장갑질119 젠더폭력특별위원회 노무사는 “6·3 <b>대선</b>으로 들어설 정부는 성평등 실현이 민주주의 새 광장의...,"Tue, 06 May 2025 12:19:00 +0900"
&quot;이재명과 함께 위기 극복&quot;…민주당 대구시당 선대위 출범,https://n.news.naver.com/mnews/article/421/0008232987?sid=154,더불어민주당 대구시당이 6일 '6·3 <b>대선</b>' 선거대책위원회를 꾸리고 본격적인 선거 채비에 들어갔다. 민주당 대구시당은 이날 오전 중구 삼덕동 소재 시당 김대중 홀에서 제<b>21대</b> 대통령 선거 진짜 대한민국 대구시당 선대위...,"Tue, 06 May 2025 12:17:00 +0900"
최연숙 전 국민의힘 의원 &quot;대구 미래 위해 이재명과 함께하기로&quot;,https://n.news.naver.com/mnews/article/088/0000946034?sid=154,이번 6·3 <b>대선</b>에서 더불어민주당 대구시당 선거대책위원회를 이끌게 된 최연숙 전 국민의힘 의원이 &quot;저는... 2020년 제<b>21대</b> 국회의원 선거에서 국민의당 비례대표 1번으로 당선된 그는 국민의힘과 국민의당 합당 후엔...,"Tue, 06 May 2025 12:10:00 +0900"
&quot;주 52시간제도 지키기 힘든 판에 4.5일제는 무슨 얘기인지…&quot;,https://n.news.naver.com/mnews/article/011/0004481841?sid=101,"6일 정치권에 따르면 이재명 더불어민주당 <b>대선</b> 후보는 지난달 페이스북에 올린 ‘직장인 정책 발표문’을... 다만 김문수 국민의힘 <b>대선</b> 후보는 4.5일제의 취지에는 공감한다면서도, 일률적인 규제는 기업 자율성을...","Tue, 06 May 2025 12:01:00 +0900"
