url,댓글 수,댓글
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,"안철수가 대통령이 되면 우리나라는 초격차 첨단 과학기술 선도국으로 세계5대 경제대국이 됩니다. 깨끗하고 능력있고 도덕적인 안철수가 대통령이 되어야, 코로나로 망가진 이나라가, 희망의 나라로 나갈 수 있습니다."
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,왜 이런 인물을 대한민국은 조롱하는가 슬프다
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,감사합니다 ㅜㅜㅜ 이런 기사 내주셔서 ㅠㅠㅜ 언론과 기득권으로 부패한 양당에 가려져 주목받지 못한 안철수를 잘 봐주셔서 ㅠㅜㅠ
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,우리나라가 한단계 더 발돋움 할 수 있는 대통령 후보라 생각합니다!
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,안철수가 제대로 된 대통령 깜입니다. 여론조사 안잡히는 안철수 좋아하는 국민들 진짜 많아요. 민심은 우리집은 모두 투표 안철수입니다. 1번2번 너무 싫어서 안철수 찍는 국민들 뭉쳐서 둘다 떨어트립시다.
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,"대한민국 국민여러분..이런 거지같은 정치 ,대선…이제 국민들이 끝냅시다. 이말도 안되는 대선에서 이나라를 구해낼 수있는 것은 깨어있는 우리국민 뿐입니다. 왜 아직도 많은 국민여러분들은 민주 아니면 국민의힘 ..누가 덜나쁜 후보에서만 선택하려 합니까? 소신있고 깨끗한건.알겠는데..될가능성없으니 사표만들지 않으려고 ..거지같아도 덜 구린 후보뽑으려 하지맙시다.,프랑스 국민들이 마크롱대통령을 뽑은거처럼 우리도 구태를 벗어나서 깨끗하고 소신있는 후보를 지지해서 선진정치 국가를 만듭시다"
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,안철수가 대통령이 되면 세계가 우리를 달리 볼건데...이건 무슨 후진국 대통령 선거도 아니고.
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,이런 것이 바로 국격이 되고 국력이 됩니다. 감사합니다. 국위선양 안철수.
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,안철수가 대통령이 되야되는 이유입니다 국제관계속에서도 당당하고 우월한 능력있는 대통령...대한민국에도 있습니다 이제 뽑기만 하면 됩니다
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,더이상 내수용 대통령이 아닌 외국 정상들과 당당히 겨룰수 있는 대통령이 나와야 된다. 안철수가 유일한 후보이다. 자유 민주주의는 내가 갖고싶은 미래를 제시하는 후보에게 투표하는 것이다. 안철수만 미래를 말하고 있다
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,"""사안에 대해 진짜 이해를 하고 있다"" ""리더의 모습을 봤다"" ""한국 사회가 이런 인물을 잘 활용하는 것이 한국의 미래에 도움이 될 것이다"" 나라를 발전시키고 국격을 높일 후보가 누구인지 미국에서는 잘 알고 있는 것 같습니다."
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,"국민들이 바라는 정치인상 ""사심없이 국가와 민족만을 위하는 실력 있는 정치인"" 1. 사심이 없으면 정치인들간의 담합으로 권력을 이용한 부당 거래를 하지 않음. ~ 안철수 혼자만 사심이 없으니 기성정치인들과 세력규합이 안됨(물이 너무 맑아 고기가 못산다) 2. 국가와 민족만을 위하는 정치인 본연의 기본자세 ~ 기성정치인들은 우선적으로 자신을 위하고, 다음 정당을 위하고, 그 다음으로 국가를 위한다(안철수와 뜻이 안 맞다) 3. 실력 있는 정치인 : 사안을 제대로 풀어나가는 능력 ~ 이미 경력을 넘치게 채웠으나 사기꾼에게 국민들이 속음"
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,차원이 다른 사람이란걸..소수만 알것지..대부분의  국민은 거대 썩은 보수 진보언론땜시  진영이라는 틀에  박혀 벗어나지  못하고 있으니..지들이 투표권을 자주적으로 행사 한다고 생각하것지..각본대로 움직인다는 생각은 못하고..소수만이 정말 자주적으로 주권을 행사 할뿐이지..이번대선은 그 진영논리에서 벗어나  양  부패 기득권을 몰아내는 자주적 선거가 되기를..
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,"밖에서 보면 진짜가 보이는데,,,  한국은 정치후진국이자 언론후진국이다. 정치는 양당만을 강요하고 언론도 양당후보만을 비추며 국민들을 세뇌한다. 국민들이 먼저 깨어나야 한다. 외국정상들과 나란히 섰을 때 부끄러운 대통령은 이제 그만 뽑아야 하지 않나? 제발 최악을 막기 위해 차악을 뽑지 말고 최선을 뽑자. 자신의 생각을 믿고 안철수를 뽑으면 안철수가 된다!"
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,저런사람들이랑 대화하다 대선토론회에서 윤석열같은 인간하고 토론하려니 어이가 없으시겠지만 힘내십시요
https://n.news.naver.com/mnews/article/469/0000660916?sid=110,20,
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,"개 풀뜯어먹는소리하고있네
어찌감히 박정희대통령을 나같은전과자와 비교하니"
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,딱 열흘만 참읍시다. 저 면상 볼날도 며칠 안남았습니다.
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,호남가서는 박정희가 경상도에 집중투자해 호남 홀대했다고 하더니 영남에 가서는 뭐?  추진력이 있고 심지어 너랑 닮아? 너의 그 이중적인 태도에 민심  다 떠났다
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,거짓말 선동에 대한 추진력은 세계에서 죄명이를 따라올 사람이 없을것이다!
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,표 얻을라고 하는것치고는 너무 티나는거 아니냐?? 박정희 하면 이를 갈던 놈들이 ㅋㅋㅋㅋ
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,"이재명 후보의 표 얻기 위한 술수에 불가. 박근혜를 존중 존경한다더만 나중에 다시 물으니 내가 진짜 존경하는줄 아느냐고? 조롱한 사람이다. 싫으면 차라리 말을 하지를 말던지. 박정희 대통령, 노무현, 김대중 대통령 표 얻을때만 이용하는 전형적인 사기꾼 비스무리한 사람 같이보인다."
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,"거짓말 초밥먹듯이 합니다.경북에서 박정희 호감팔이,호남에서 박정희땜에 지역감정,호남 못산다고 욕하고 다니고  참 나쁘다."
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,야 ㅋ 박정희? 이순신 ? 진짜 표뚝뚝 떨어지는 소리들린다 찢재명아
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,이재명은  푸틴과 아주 많이  닮았다  살인하고 도둑질하고  여성편력적이고 무지막지하고 교활하고  악마같은 놈이다
https://n.news.naver.com/mnews/article/025/0003176941?sid=100,20,달면 삼키고 쓰면 밷고.
