video_id,video_title,channel,views,video_likes,comment,comment_likes,reply_1,reply_1_likes
hG94lt8gMZ8,윤석열의 ‘이준석 밀어내기’와 이재명의 ‘조국 밀어내기’ [공덕포차 시즌3 ep.09],한겨레TV,53203,2211,자자..콜..그럼..김건희는 공적으로 검증해서 통과가 안될테니..이혼해야되는거로 결론.,19,그건 윤도리가 책임질부분,1
hG94lt8gMZ8,윤석열의 ‘이준석 밀어내기’와 이재명의 ‘조국 밀어내기’ [공덕포차 시즌3 ep.09],한겨레TV,53203,2211,"윤석열을 후보로 뽑은것 자체가 문제다~ 
에~그~저~  어버버~~",16,,
hG94lt8gMZ8,윤석열의 ‘이준석 밀어내기’와 이재명의 ‘조국 밀어내기’ [공덕포차 시즌3 ep.09],한겨레TV,53203,2211,"국힘당은 윤석열 먼저 사퇴시켜라.
김건희 사생활은 드러워서 못봐주겠는데 주가조작에 각종 사건에 연루되었는데..
불륜 황보승희 먼저 사퇴시켜시라.",11,,
e95tvfa26Eg,윤석열은 “프로 토스”? “마이크 포비아”? #shorts,한겨레TV,322724,4414,장성철 : 못들었고~~~~  대박이다!,42,,
e95tvfa26Eg,윤석열은 “프로 토스”? “마이크 포비아”? #shorts,한겨레TV,322724,4414,윤후보 한테 감사하지요 코로나 시국에 코미디보다 더 재밌는   말과 행동으로 웃음선물 감사합니다   또 매일 기대 합니다,36,,
e95tvfa26Eg,윤석열은 “프로 토스”? “마이크 포비아”? #shorts,한겨레TV,322724,4414,ㅋㅋㅋ진짜 할말이 없다 프로토스 맞네,24,,
z2Q8FdV9ECk,"‘셀프 수사권’ 부활, 윤석열 ‘검찰 통치’ 예고  #논썰  #shorts",한겨레TV,958131,21938,논썰 본편 보러가기 https://youtu.be/I3_LcdirysU,69,이재명은 정상인가? 더 심하던데.,2
z2Q8FdV9ECk,"‘셀프 수사권’ 부활, 윤석열 ‘검찰 통치’ 예고  #논썰  #shorts",한겨레TV,958131,21938,끌어 내리는것만이 해결이고 답~~~~,3,,
z2Q8FdV9ECk,"‘셀프 수사권’ 부활, 윤석열 ‘검찰 통치’ 예고  #논썰  #shorts",한겨레TV,958131,21938,"대통령도, 법무부 장관도, 검사 퇴직하고 직행 했는데, 수사지휘권 폐지?  ㅎㅎ  개가 웃을 일이다.
어차피 검사 동일체 원칙으로 지휘 않해도 검사들이 알아서 기지... 뻔한걸
고위직 검사들이 사기업에 가도 전관예우로 수많은 위법이 발생하고 있는 판에..",2,,
xNlu3sic57Y,“윤석열의 거짓말”과 이재명의 ‘나홀로 네거티브 중단’ [공덕포차 시즌3 ep.16 엑기스],한겨레TV,15840,583,"윤석열은 거의 지키는약속은 없을것가따
 히이너무 들어가이 있고 신뢰감 떨어집니다
토론도보면 국민 입장에서 답을 하지 않고 본인 의견으로가는게 자신이 없는게 느껴지네요 표을밭으려면  능력을 내놔야지 그냥 표만다라고하면 누가주나",23,,
